,id,class_no,confidence,frame,x1,y1,x2,y2,center,bottom_center,zone0,zone1,zone2,zone3,zone0_FC,zone1_FC,zone2_FC,zone3_FC,zone0_TC,zone1_TC,zone2_TC,zone3_TC
0,1,7,0.9439367055892944,0,251.22552490234375,686.62646484375,896.0679321289062,1074.116943359375,"(573.65, 880.37)","(573.65, 1074.12)",False,True,False,False,9,1,0,3,9,1,0,3
1,2,5,0.9156964421272278,0,307.50469970703125,486.00537109375,560.8065795898438,614.92431640625,"(434.16, 550.46)","(434.16, 614.92)",True,False,False,False,9,1,0,3,9,1,0,3
2,3,2,0.8744757771492004,0,957.8404541015625,652.9029541015625,1069.163818359375,750.5554809570312,"(1013.5, 701.73)","(1013.5, 750.56)",False,False,False,False,9,1,0,3,9,1,0,3
3,4,7,0.8224765658378601,0,993.6739501953125,445.9945068359375,1097.6431884765625,510.8126525878906,"(1045.66, 478.4)","(1045.66, 510.81)",False,False,False,False,9,1,0,3,9,1,0,3
4,5,2,0.7842943668365479,0,263.1260681152344,553.9718017578125,346.8495178222656,615.32763671875,"(304.99, 584.65)","(304.99, 615.33)",True,False,False,False,9,1,0,3,9,1,0,3
5,6,2,0.7770887613296509,0,1422.583251953125,440.8882141113281,1485.6019287109375,485.7970275878906,"(1454.09, 463.34)","(1454.09, 485.8)",False,False,False,True,9,1,0,3,9,1,0,3
6,7,7,0.770431399345398,0,593.03076171875,472.3128662109375,787.1979370117188,579.047607421875,"(690.11, 525.68)","(690.11, 579.05)",True,False,False,False,9,1,0,3,9,1,0,3
7,8,2,0.724851667881012,0,243.07809448242188,501.24688720703125,315.5094909667969,555.5548706054688,"(279.29, 528.4)","(279.29, 555.55)",True,False,False,False,9,1,0,3,9,1,0,3
8,9,7,0.723272442817688,0,1543.1092529296875,343.50958251953125,1638.5379638671875,428.72491455078125,"(1590.82, 386.12)","(1590.82, 428.72)",False,False,False,True,9,1,0,3,9,1,0,3
9,10,2,0.6945056319236755,0,128.29901123046875,508.62841796875,204.39785766601562,569.1629638671875,"(166.35, 538.9)","(166.35, 569.16)",True,False,False,False,9,1,0,3,9,1,0,3
10,11,2,0.6704460382461548,0,870.6004638671875,450.0008239746094,956.2777099609375,485.8905944824219,"(913.44, 467.95)","(913.44, 485.89)",False,False,False,False,9,1,0,3,9,1,0,3
11,12,7,0.6594454050064087,0,31.560396194458008,440.9361572265625,86.092529296875,513.27734375,"(58.83, 477.11)","(58.83, 513.28)",True,False,False,False,9,1,0,3,9,1,0,3
12,13,2,0.6496341824531555,0,1476.86083984375,421.79608154296875,1526.622314453125,460.4424133300781,"(1501.74, 441.12)","(1501.74, 460.44)",False,False,False,True,9,1,0,3,9,1,0,3
13,14,2,0.6465659141540527,0,68.45558166503906,489.392333984375,114.42478942871094,535.2880859375,"(91.44, 512.34)","(91.44, 535.29)",True,False,False,False,9,1,0,3,9,1,0,3
